,link
240,/date/1992-05-05/?ref_=bo_di_table_241
241,/date/1992-05-04/?ref_=bo_di_table_242
242,/date/1992-05-03/?ref_=bo_di_table_243
243,/date/1992-05-02/?ref_=bo_di_table_244
244,/date/1992-05-01/?ref_=bo_di_table_245
245,/date/1992-04-30/?ref_=bo_di_table_246
246,/date/1992-04-29/?ref_=bo_di_table_247
247,/date/1992-04-28/?ref_=bo_di_table_248
248,/date/1992-04-27/?ref_=bo_di_table_249
249,/date/1992-04-26/?ref_=bo_di_table_250
250,/date/1992-04-25/?ref_=bo_di_table_251
251,/date/1992-04-24/?ref_=bo_di_table_252
252,/date/1992-04-23/?ref_=bo_di_table_253
253,/date/1992-04-22/?ref_=bo_di_table_254
254,/date/1992-04-21/?ref_=bo_di_table_255
255,/date/1992-04-20/?ref_=bo_di_table_256
256,/date/1992-04-19/?ref_=bo_di_table_257
257,/date/1992-04-18/?ref_=bo_di_table_258
258,/date/1992-04-17/?ref_=bo_di_table_259
259,/date/1992-04-16/?ref_=bo_di_table_260
260,/date/1992-04-15/?ref_=bo_di_table_261
261,/date/1992-04-14/?ref_=bo_di_table_262
262,/date/1992-04-13/?ref_=bo_di_table_263
263,/date/1992-04-12/?ref_=bo_di_table_264
264,/date/1992-04-11/?ref_=bo_di_table_265
265,/date/1992-04-10/?ref_=bo_di_table_266
266,/date/1992-04-09/?ref_=bo_di_table_267
267,/date/1992-04-08/?ref_=bo_di_table_268
268,/date/1992-04-07/?ref_=bo_di_table_269
269,/date/1992-04-06/?ref_=bo_di_table_270
270,/date/1992-04-05/?ref_=bo_di_table_271
271,/date/1992-04-04/?ref_=bo_di_table_272
272,/date/1992-04-03/?ref_=bo_di_table_273
273,/date/1992-04-02/?ref_=bo_di_table_274
274,/date/1992-04-01/?ref_=bo_di_table_275
275,/date/1992-03-31/?ref_=bo_di_table_276
276,/date/1992-03-30/?ref_=bo_di_table_277
277,/date/1992-03-29/?ref_=bo_di_table_278
278,/date/1992-03-28/?ref_=bo_di_table_279
279,/date/1992-03-27/?ref_=bo_di_table_280
280,/date/1992-03-26/?ref_=bo_di_table_281
281,/date/1992-03-25/?ref_=bo_di_table_282
282,/date/1992-03-24/?ref_=bo_di_table_283
283,/date/1992-03-23/?ref_=bo_di_table_284
284,/date/1992-03-22/?ref_=bo_di_table_285
285,/date/1992-03-21/?ref_=bo_di_table_286
286,/date/1992-03-20/?ref_=bo_di_table_287
287,/date/1992-03-12/?ref_=bo_di_table_288
288,/date/1992-03-11/?ref_=bo_di_table_289
289,/date/1992-03-10/?ref_=bo_di_table_290
290,/date/1992-03-09/?ref_=bo_di_table_291
291,/date/1992-03-08/?ref_=bo_di_table_292
292,/date/1992-03-07/?ref_=bo_di_table_293
293,/date/1992-03-06/?ref_=bo_di_table_294
294,/date/1992-03-05/?ref_=bo_di_table_295
295,/date/1992-03-04/?ref_=bo_di_table_296
296,/date/1992-03-03/?ref_=bo_di_table_297
297,/date/1992-03-02/?ref_=bo_di_table_298
298,/date/1992-03-01/?ref_=bo_di_table_299
299,/date/1992-02-29/?ref_=bo_di_table_300
300,/date/1992-02-28/?ref_=bo_di_table_301
301,/date/1992-02-27/?ref_=bo_di_table_302
302,/date/1992-02-26/?ref_=bo_di_table_303
303,/date/1992-02-25/?ref_=bo_di_table_304
304,/date/1992-02-24/?ref_=bo_di_table_305
305,/date/1992-02-23/?ref_=bo_di_table_306
306,/date/1992-02-22/?ref_=bo_di_table_307
307,/date/1992-02-21/?ref_=bo_di_table_308
308,/date/1992-02-20/?ref_=bo_di_table_309
309,/date/1992-02-19/?ref_=bo_di_table_310
310,/date/1992-02-18/?ref_=bo_di_table_311
311,/date/1992-02-17/?ref_=bo_di_table_312
312,/date/1992-02-16/?ref_=bo_di_table_313
313,/date/1992-02-15/?ref_=bo_di_table_314
314,/date/1992-02-14/?ref_=bo_di_table_315
315,/date/1992-02-13/?ref_=bo_di_table_316
316,/date/1992-02-12/?ref_=bo_di_table_317
317,/date/1992-02-11/?ref_=bo_di_table_318
318,/date/1992-02-10/?ref_=bo_di_table_319
319,/date/1992-02-09/?ref_=bo_di_table_320
320,/date/1992-02-08/?ref_=bo_di_table_321
321,/date/1992-02-07/?ref_=bo_di_table_322
322,/date/1992-02-06/?ref_=bo_di_table_323
323,/date/1992-02-05/?ref_=bo_di_table_324
324,/date/1992-02-04/?ref_=bo_di_table_325
325,/date/1992-02-03/?ref_=bo_di_table_326
326,/date/1992-02-02/?ref_=bo_di_table_327
327,/date/1992-02-01/?ref_=bo_di_table_328
328,/date/1992-01-31/?ref_=bo_di_table_329
329,/date/1992-01-30/?ref_=bo_di_table_330
330,/date/1992-01-29/?ref_=bo_di_table_331
331,/date/1992-01-28/?ref_=bo_di_table_332
332,/date/1992-01-27/?ref_=bo_di_table_333
333,/date/1992-01-26/?ref_=bo_di_table_334
334,/date/1992-01-25/?ref_=bo_di_table_335
335,/date/1992-01-24/?ref_=bo_di_table_336
336,/date/1992-01-23/?ref_=bo_di_table_337
337,/date/1992-01-22/?ref_=bo_di_table_338
338,/date/1992-01-21/?ref_=bo_di_table_339
339,/date/1992-01-20/?ref_=bo_di_table_340
340,/date/1992-01-19/?ref_=bo_di_table_341
341,/date/1992-01-18/?ref_=bo_di_table_342
342,/date/1992-01-17/?ref_=bo_di_table_343
343,/date/1992-01-16/?ref_=bo_di_table_344
344,/date/1992-01-15/?ref_=bo_di_table_345
345,/date/1992-01-14/?ref_=bo_di_table_346
346,/date/1992-01-13/?ref_=bo_di_table_347
347,/date/1992-01-12/?ref_=bo_di_table_348
348,/date/1992-01-11/?ref_=bo_di_table_349
349,/date/1992-01-10/?ref_=bo_di_table_350
350,/date/1992-01-09/?ref_=bo_di_table_351
351,/date/1992-01-08/?ref_=bo_di_table_352
352,/date/1992-01-07/?ref_=bo_di_table_353
353,/date/1992-01-06/?ref_=bo_di_table_354
354,/date/1992-01-05/?ref_=bo_di_table_355
355,/date/1992-01-04/?ref_=bo_di_table_356
356,/date/1992-01-03/?ref_=bo_di_table_357
357,/date/1992-01-02/?ref_=bo_di_table_358
358,/date/1992-01-01/?ref_=bo_di_table_359
359,/date/1993-12-31/?ref_=bo_di_table_1
360,/date/1993-12-30/?ref_=bo_di_table_2
361,/date/1993-12-29/?ref_=bo_di_table_3
362,/date/1993-12-28/?ref_=bo_di_table_4
363,/date/1993-12-27/?ref_=bo_di_table_5
364,/date/1993-12-26/?ref_=bo_di_table_6
365,/date/1993-12-25/?ref_=bo_di_table_7
366,/date/1993-12-24/?ref_=bo_di_table_8
367,/date/1993-12-23/?ref_=bo_di_table_9
368,/date/1993-12-22/?ref_=bo_di_table_10
369,/date/1993-12-21/?ref_=bo_di_table_11
370,/date/1993-12-20/?ref_=bo_di_table_12
371,/date/1993-12-19/?ref_=bo_di_table_13
372,/date/1993-12-18/?ref_=bo_di_table_14
373,/date/1993-12-17/?ref_=bo_di_table_15
374,/date/1993-12-16/?ref_=bo_di_table_16
375,/date/1993-12-15/?ref_=bo_di_table_17
376,/date/1993-12-14/?ref_=bo_di_table_18
377,/date/1993-12-13/?ref_=bo_di_table_19
378,/date/1993-12-12/?ref_=bo_di_table_20
379,/date/1993-12-11/?ref_=bo_di_table_21
380,/date/1993-12-10/?ref_=bo_di_table_22
381,/date/1993-12-09/?ref_=bo_di_table_23
382,/date/1993-12-08/?ref_=bo_di_table_24
383,/date/1993-12-07/?ref_=bo_di_table_25
384,/date/1993-12-06/?ref_=bo_di_table_26
385,/date/1993-12-05/?ref_=bo_di_table_27
386,/date/1993-12-04/?ref_=bo_di_table_28
387,/date/1993-12-03/?ref_=bo_di_table_29
388,/date/1993-12-02/?ref_=bo_di_table_30
389,/date/1993-12-01/?ref_=bo_di_table_31
390,/date/1993-11-30/?ref_=bo_di_table_32
391,/date/1993-11-29/?ref_=bo_di_table_33
392,/date/1993-11-28/?ref_=bo_di_table_34
393,/date/1993-11-27/?ref_=bo_di_table_35
394,/date/1993-11-26/?ref_=bo_di_table_36
395,/date/1993-11-25/?ref_=bo_di_table_37
396,/date/1993-11-24/?ref_=bo_di_table_38
397,/date/1993-11-23/?ref_=bo_di_table_39
398,/date/1993-11-22/?ref_=bo_di_table_40
399,/date/1993-11-21/?ref_=bo_di_table_41
400,/date/1993-11-20/?ref_=bo_di_table_42
401,/date/1993-11-19/?ref_=bo_di_table_43
402,/date/1993-11-18/?ref_=bo_di_table_44
403,/date/1993-11-17/?ref_=bo_di_table_45
404,/date/1993-11-16/?ref_=bo_di_table_46
405,/date/1993-11-15/?ref_=bo_di_table_47
406,/date/1993-11-14/?ref_=bo_di_table_48
407,/date/1993-11-13/?ref_=bo_di_table_49
408,/date/1993-11-12/?ref_=bo_di_table_50
409,/date/1993-11-11/?ref_=bo_di_table_51
410,/date/1993-11-10/?ref_=bo_di_table_52
411,/date/1993-11-09/?ref_=bo_di_table_53
412,/date/1993-11-08/?ref_=bo_di_table_54
413,/date/1993-11-07/?ref_=bo_di_table_55
414,/date/1993-11-06/?ref_=bo_di_table_56
415,/date/1993-11-05/?ref_=bo_di_table_57
416,/date/1993-11-04/?ref_=bo_di_table_58
417,/date/1993-11-03/?ref_=bo_di_table_59
418,/date/1993-11-02/?ref_=bo_di_table_60
419,/date/1993-11-01/?ref_=bo_di_table_61
420,/date/1993-10-31/?ref_=bo_di_table_62
421,/date/1993-10-30/?ref_=bo_di_table_63
422,/date/1993-10-29/?ref_=bo_di_table_64
423,/date/1993-10-28/?ref_=bo_di_table_65
424,/date/1993-10-27/?ref_=bo_di_table_66
425,/date/1993-10-26/?ref_=bo_di_table_67
426,/date/1993-10-25/?ref_=bo_di_table_68
427,/date/1993-10-24/?ref_=bo_di_table_69
428,/date/1993-10-23/?ref_=bo_di_table_70
429,/date/1993-10-22/?ref_=bo_di_table_71
430,/date/1993-10-21/?ref_=bo_di_table_72
431,/date/1993-10-20/?ref_=bo_di_table_73
432,/date/1993-10-19/?ref_=bo_di_table_74
433,/date/1993-10-18/?ref_=bo_di_table_75
434,/date/1993-10-17/?ref_=bo_di_table_76
435,/date/1993-10-16/?ref_=bo_di_table_77
436,/date/1993-10-15/?ref_=bo_di_table_78
437,/date/1993-10-14/?ref_=bo_di_table_79
438,/date/1993-10-13/?ref_=bo_di_table_80
439,/date/1993-10-12/?ref_=bo_di_table_81
440,/date/1993-10-11/?ref_=bo_di_table_82
441,/date/1993-10-10/?ref_=bo_di_table_83
442,/date/1993-10-09/?ref_=bo_di_table_84
443,/date/1993-10-08/?ref_=bo_di_table_85
444,/date/1993-10-07/?ref_=bo_di_table_86
445,/date/1993-10-06/?ref_=bo_di_table_87
446,/date/1993-10-05/?ref_=bo_di_table_88
447,/date/1993-10-04/?ref_=bo_di_table_89
448,/date/1993-10-03/?ref_=bo_di_table_90
449,/date/1993-10-02/?ref_=bo_di_table_91
450,/date/1993-10-01/?ref_=bo_di_table_92
451,/date/1993-09-30/?ref_=bo_di_table_93
452,/date/1993-09-29/?ref_=bo_di_table_94
453,/date/1993-09-28/?ref_=bo_di_table_95
454,/date/1993-09-27/?ref_=bo_di_table_96
455,/date/1993-09-26/?ref_=bo_di_table_97
456,/date/1993-09-25/?ref_=bo_di_table_98
457,/date/1993-09-24/?ref_=bo_di_table_99
458,/date/1993-09-23/?ref_=bo_di_table_100
459,/date/1993-09-22/?ref_=bo_di_table_101
460,/date/1993-09-21/?ref_=bo_di_table_102
461,/date/1993-09-20/?ref_=bo_di_table_103
462,/date/1993-09-19/?ref_=bo_di_table_104
463,/date/1993-09-18/?ref_=bo_di_table_105
464,/date/1993-09-17/?ref_=bo_di_table_106
465,/date/1993-09-16/?ref_=bo_di_table_107
466,/date/1993-09-15/?ref_=bo_di_table_108
467,/date/1993-09-14/?ref_=bo_di_table_109
468,/date/1993-09-13/?ref_=bo_di_table_110
469,/date/1993-09-12/?ref_=bo_di_table_111
470,/date/1993-09-11/?ref_=bo_di_table_112
471,/date/1993-09-10/?ref_=bo_di_table_113
472,/date/1993-09-09/?ref_=bo_di_table_114
473,/date/1993-09-08/?ref_=bo_di_table_115
474,/date/1993-09-07/?ref_=bo_di_table_116
475,/date/1993-09-06/?ref_=bo_di_table_117
476,/date/1993-09-05/?ref_=bo_di_table_118
477,/date/1993-09-04/?ref_=bo_di_table_119
478,/date/1993-09-03/?ref_=bo_di_table_120
479,/date/1993-09-02/?ref_=bo_di_table_121
480,/date/1993-09-01/?ref_=bo_di_table_122
481,/date/1993-08-31/?ref_=bo_di_table_123
482,/date/1993-08-30/?ref_=bo_di_table_124
483,/date/1993-08-29/?ref_=bo_di_table_125
484,/date/1993-08-28/?ref_=bo_di_table_126
485,/date/1993-08-27/?ref_=bo_di_table_127
486,/date/1993-08-26/?ref_=bo_di_table_128
487,/date/1993-08-25/?ref_=bo_di_table_129
488,/date/1993-08-24/?ref_=bo_di_table_130
489,/date/1993-08-23/?ref_=bo_di_table_131
490,/date/1993-08-22/?ref_=bo_di_table_132
491,/date/1993-08-21/?ref_=bo_di_table_133
492,/date/1993-08-20/?ref_=bo_di_table_134
493,/date/1993-08-19/?ref_=bo_di_table_135
494,/date/1993-08-18/?ref_=bo_di_table_136
495,/date/1993-08-17/?ref_=bo_di_table_137
496,/date/1993-08-16/?ref_=bo_di_table_138
497,/date/1993-08-15/?ref_=bo_di_table_139
498,/date/1993-08-14/?ref_=bo_di_table_140
499,/date/1993-08-13/?ref_=bo_di_table_141
500,/date/1993-08-12/?ref_=bo_di_table_142
501,/date/1993-08-11/?ref_=bo_di_table_143
502,/date/1993-08-10/?ref_=bo_di_table_144
503,/date/1993-08-09/?ref_=bo_di_table_145
504,/date/1993-08-08/?ref_=bo_di_table_146
505,/date/1993-08-07/?ref_=bo_di_table_147
506,/date/1993-08-06/?ref_=bo_di_table_148
507,/date/1993-08-05/?ref_=bo_di_table_149
508,/date/1993-08-04/?ref_=bo_di_table_150
509,/date/1993-08-03/?ref_=bo_di_table_151
510,/date/1993-08-02/?ref_=bo_di_table_152
511,/date/1993-08-01/?ref_=bo_di_table_153
512,/date/1993-07-31/?ref_=bo_di_table_154
513,/date/1993-07-30/?ref_=bo_di_table_155
514,/date/1993-07-29/?ref_=bo_di_table_156
515,/date/1993-07-28/?ref_=bo_di_table_157
516,/date/1993-07-27/?ref_=bo_di_table_158
517,/date/1993-07-26/?ref_=bo_di_table_159
518,/date/1993-07-25/?ref_=bo_di_table_160
519,/date/1993-07-24/?ref_=bo_di_table_161
520,/date/1993-07-23/?ref_=bo_di_table_162
521,/date/1993-07-22/?ref_=bo_di_table_163
522,/date/1993-07-21/?ref_=bo_di_table_164
523,/date/1993-07-20/?ref_=bo_di_table_165
524,/date/1993-07-19/?ref_=bo_di_table_166
525,/date/1993-07-18/?ref_=bo_di_table_167
526,/date/1993-07-17/?ref_=bo_di_table_168
527,/date/1993-07-16/?ref_=bo_di_table_169
528,/date/1993-07-15/?ref_=bo_di_table_170
529,/date/1993-07-14/?ref_=bo_di_table_171
530,/date/1993-07-13/?ref_=bo_di_table_172
531,/date/1993-07-12/?ref_=bo_di_table_173
532,/date/1993-07-11/?ref_=bo_di_table_174
533,/date/1993-07-10/?ref_=bo_di_table_175
534,/date/1993-07-09/?ref_=bo_di_table_176
535,/date/1993-07-08/?ref_=bo_di_table_177
536,/date/1993-07-07/?ref_=bo_di_table_178
537,/date/1993-07-06/?ref_=bo_di_table_179
